,FULL NAME,Email Id,Age,Gender,Address,Phone No,Program/Project,Volunteer Role,Donation Amount,Membership Status
39,Ranbir Khanna,ranbir.khanna84@yahoo.com,31 years old,Male,"64, Nirala Nagar, Lucknow, Uttar Pradesh - 226020",918195000000.0,Humanitarian Aid for Conflict Zones,Occupational Health and Safety Specialist,INR 234.00,Member
40,Naira Joshi,naira.joshi45@gmail.com,29 years old,Female,"39, Vidhan Sabha Marg, Kanpur, Uttar Pradesh - 208001",919429000000.0,Community Library and Learning Center,Horticulturist,"INR 12,345.00",Member
41,Aadi Mehta,aadi.mehta47@yahoo.com,26 years old,Male,"22, Aminabad Road, Varanasi, Uttar Pradesh - 221002",918765000000.0,Climate Change Awareness Campaign,Life Coach,"INR 2,000.00",Member
42,Aishani Chauhan,aishani.chauhan29@gmail.com,25 years old,Female,"46, Civil Lines, Lucknow, Uttar Pradesh - 226002",919852000000.0,Scholarships for Underprivileged Students,Grant Reviewer,"INR 8,000.00",Member
43,Dhairya Verma,dhairya.verma61@yahoo.com,27 years old,Male,"79, Mall Road, Allahabad, Uttar Pradesh - 211001",918219000000.0,Micro-Enterprise Development,Social Worker,"INR 9,000.00",Member
44,Avisha Gupta,avisha.gupta86@gmail.com,28 years old,Female,"25, Jawaharlal Road, Kanpur, Uttar Pradesh - 208002",919487000000.0,Nutrition and Food Security,Animal Caretaker,INR 345.00,Member
45,Atharv Sharma,atharv.sharma92@yahoo.com,24 years old,Male,"57, Rajpur Road, Dehradun, Uttar Pradesh - 248001",918397000000.0,Social Services for Vulnerable Families,Health Advocate,"INR 6,543.00",Member
46,Naisha Patel,naisha.patel63@gmail.com,22 years old,Female,"31, Nainital Road, Moradabad, Uttar Pradesh - 244001",919672000000.0,Empowerment of LGBTQ+ Communities,Fitness Instructor,"INR 1,000.00",Member
47,Ishan Kapoor,ishan.kapoor26@yahoo.com,23 years old,Male,"43, Civil Lines, Bareilly, Uttar Pradesh - 243001",918927000000.0,Early Childhood Education,Science Educator,"INR 5,678.00",Member
48,Aarna Joshi,aarna.joshi77@gmail.com,29 years old,Female,"68, Alambagh, Kanpur, Uttar Pradesh - 208007",918493000000.0,Mobile Dental Clinics,Public Speaker,"INR 4,321.00",Member
49,Kabir Verma,kabir.verma55@yahoo.com,28 years old,Male,"16, Kailashpuri, Lucknow, Uttar Pradesh - 226003",919365000000.0,Water and Sanitation Hygiene (WASH),Gardener,"INR 14,567.00",Member
50,Ahana Malhotra,ahana.malhotra68@gmail.com,26 years old,Female,"85, Gandhi Road, Varanasi, Uttar Pradesh - 221001",918942000000.0,Animal Welfare and Conservation,Language Tutor,"INR 1,000.00",Member
51,Reyansh Gupta,reyansh.gupta32@yahoo.com,30 years old,Male,"44, Raj Bhavan Road, Lucknow, Uttar Pradesh - 226003",919272000000.0,Mobile Health Education Workshops,Tech Support Specialist,"INR 6,789.00",Member
52,Aashna Chauhan,aashna.chauhan15@gmail.com,27 years old,Female,"20, Jawaharlal Nehru Road, Kanpur, Uttar Pradesh - 208002",919854000000.0,Technology for Education,Conflict Resolution Mediator,"INR 3,200.00",Member
53,Aarit Mehta,aarit.mehta49@yahoo.com,25 years old,Male,"62, Subhash Road, Allahabad, Uttar Pradesh - 211003",918197000000.0,Youth Mentorship Program,Event Photographer,"INR 6,543.00",Member
54,Pari Sharma,pari.sharma73@gmail.com,29 years old,Female,"35, Civil Lines, Agra, Uttar Pradesh - 282001",919451000000.0,Mental Health Counseling for Adolescents,Human Rights Advocate,"INR 7,000.00",Member
55,Vihaan Verma,vihaan.verma38@yahoo.com,24 years old,Male,"49, Mahaveer Road, Gorakhpur, Uttar Pradesh - 273001",918672000000.0,Economic Development in Rural Areas,Personal Trainer,"INR 2,345.00",Member
56,Anaisha Khanna,anaisha.khanna64@gmail.com,22 years old,Female,"37, Lajpat Nagar, Meerut, Uttar Pradesh - 250002",919123000000.0,Sustainable Agriculture Project,Disaster Relief Coordinator,"INR 10,987.00",Member
57,Armaan Joshi,armaan.joshi21.yahoo.com,28 years old,Male,"75, Ashok Vihar, Kanpur, Uttar Pradesh - 208002",918392000000.0,Accessible Housing Initiatives,Wilderness Guide,"INR 1,000.00",Member
58,Sanaya Patel,sanaya.patel67@gmail.com,27 years old,Female,"19, Civil Lines, Lucknow, Uttar Pradesh - 226004",919746000000.0,Community-Based Rehabilitation,Music Therapist,"INR 4,321.00",Member
59,Reyansh Kapoor,reyansh.kapoor72@yahoo.com,26 years old,Male,"68, Alambagh, Allahabad, Uttar Pradesh - 211001",918265000000.0,Disaster Resilience Education,Nutrition Educator,"INR 13,456.00",Member
60,Meher Khanna,meher.khanna84@gmail.com,30 years old,Female,"40, M.G. Road, Varanasi, Uttar Pradesh - 221002",919587000000.0,Art Therapy for Trauma Survivors,Art Instructor,"INR 1,000.00",Member
61,Ayansh Chauhan,ayansh.chauhan37@yahoo.com,25 years old,Male,"21, Nishatganj, Lucknow, Uttar Pradesh - 226006",918927000000.0,Sports for Development,Legal Aid Specialist,"INR 4,000.00",Member
62,Vanya Mehta,vanya.mehta93@gmail.com,24 years old,Female,"50, Civil Lines, Kanpur, Uttar Pradesh - 208005",918432000000.0,Elderly Socialization and Support,Wilderness First Responder,"INR 12,345.00",Member
63,Arisha Gupta,arisha.gupta45@yahoo.com,23 years old,Male,"22, Station Road, Moradabad, Uttar Pradesh - 244001",919264000000.0,Recycling and Waste Management,Geologist,"INR 2,000.00",Member
64,Aaryav Sharma,aaryav.sharma26@gmail.com,31 years old,Female,"31, Ram Bagh, Agra, Uttar Pradesh - 282005",918195000000.0,Humanitarian Assistance in Conflict Zones,Meditation Instructor,"INR 16,789.00",Member
65,Anshika Verma,anshika.verma51@yahoo.com,29 years old,Male,"58, Nirala Nagar, Meerut, Uttar Pradesh - 250001",919429000000.0,Home Repair and Renovation,Refugee Resettlement Specialist,"INR 3,000.00",Member
66,Ehan Joshi,ehan.joshi73@gmail.com,28 years old,Female,"27, Rajendra Nagar, Varanasi, Uttar Pradesh - 221002",918765000000.0,Support for Victims of Domestic Violence,Construction Worker,"INR 8,000.00",Member
67,Kaira Kapoor,kaira.kapoor14@yahoo.com,27 years old,Male,"43, Connaught Place, Allahabad, Uttar Pradesh - 211002",919852000000.0,Youth Leadership Development,Birdwatcher,"INR 5,432.00",Member
68,Aaradhya Patel,aaradhya.patel19@gmail.com,25 years old,Female,"54, Jawaharlal Road, Gorakhpur, Uttar Pradesh - 273001",918219000000.0,Environmental Cleanup Campaign,Marriage Counselor,"INR 5,432.00",Member
69,Vivaan Mehta,vivaan.mehta39@yahoo.com,30 years old,Male,"26, Sardar Patel Marg, Kanpur, Uttar Pradesh - 208003",919487000000.0,Medical Camps in Underserved Areas,Wildlife Biologist,"INR 11,234.00",Member
70,Aarushi Khanna,aarushi.khanna62@gmail.com,26 years old,Female,"67, Civil Lines, Lucknow, Uttar Pradesh - 226005",918397000000.0,Solar Energy Access Program,Vocational Counselor,"INR 1,000.00",Member
71,Vihan Chauhan,vihan.chauhan49@yahoo.com,23 years old,Male,"45, M.G. Road, Meerut, Uttar Pradesh - 250003",919672000000.0,Nutritional Gardens for Schools,Tax Advisor,"INR 18,765.00",Member
72,Anya Sharma,anya.sharma87@gmail.com,29 years old,Female,"38, Chowk Bazaar, Varanasi, Uttar Pradesh - 221002",918927000000.0,Educational Scholarships for Girls,Environmental Scientist,"INR 1,234.00",Member
73,Yuvan Kapoor,yuvan.kapoor24@yahoo.com,27 years old,Male,"73, Civil Lines, Agra, Uttar Pradesh - 282007",918493000000.0,Disaster Response Training,Fashion Designer,"INR 5,432.00",Member
74,Tia Joshi,tia.joshi12@gmail.com,25 years old,Female,"48, Mahaveer Road, Kanpur, Uttar Pradesh - 208005",919365000000.0,Access to Clean Cooking Technologies,Crisis Hotline Operator,"INR 8,765.00",Member
75,Ahaan Mehta,ahaan.mehta29@yahoo.com,22 years old,Male,"20, Alambagh, Allahabad, Uttar Pradesh - 211002",918942000000.0,Humanitarian Aid for Refugees,Nutrition Coach,"INR 1,234.00",Member
76,Aditi Gupta,aditi.gupta28@gmail.com,23 years old,Female,"55, Ashok Nagar, Lucknow, Uttar Pradesh - 226007",919272000000.0,Child Rights Advocacy,Archaeological Surveyor,"INR 14,567.00",Member
77,Ayana Verma,ayana.verma84@yahoo.com,24 years old,Female,"29, Kailashpuri, Gorakhpur, Uttar Pradesh - 273001",919854000000.0,Community Radio Station,Adoption Counselor,"INR 1,000.00",Member
78,Rishabh Sharma,rishabh.sharma52@gmail.com,28 years old,Male,"77, Nishatganj, Kanpur, Uttar Pradesh - 208007",918197000000.0,Youth Arts and Music Workshops,Marketing Consultant,"INR 9,000.00",Member
79,Anika Khanna,anika.khanna47@yahoo.com,27 years old,Female,"30, Lajpat Nagar, Varanasi, Uttar Pradesh - 221002",919451000000.0,Sustainable Forest Conservation,Environmental Educator,"INR 2,345.00",Member
80,Ayden Chauhan,ayden.chauhan61@gmail.com,26 years old,Male,"52, Civil Lines, Lucknow, Uttar Pradesh - 226006",918672000000.0,Health and Hygiene Kits Distribution,Fitness Class Instructor,"INR 7,654.00",Member
81,Saisha Kapoor,saisha.kapoor68@yahoo.com,29 years old,Female,"35, Vidhan Sabha Marg, Meerut, Uttar Pradesh - 250004",919123000000.0,Water Filtration Systems,Child Advocate,"INR 14,321.00",Member
82,Reyanshi Joshi,reyanshi.joshi35@gmail.com,28 years old,Female,"63, M.G. Road, Moradabad, Uttar Pradesh - 244001",918392000000.0,Vocational Training for Persons with Disabilities,Grant Application Reviewer,"INR 1,000.00",Member
83,Avyan Mehta,avyan.mehta95@yahoo.com,25 years old,Male,"41, Jawaharlal Nehru Road, Agra, Uttar Pradesh - 282003",919746000000.0,Humanitarian Aid for Orphans,Legal Researcher,"INR 6,000.00",Member
84,Aria Patel,aria.patel34@gmail.com,23 years old,Female,"66, Subhash Road, Allahabad, Uttar Pradesh - 211005",918265000000.0,Anti-Trafficking Awareness Program,Wilderness Survival Trainer,"INR 2,345.00",Member
85,Aayan Kapoor,aayan.kapoor39@yahoo.com,30 years old,Male,"37, Raj Bhavan Road, Dehradun, Uttar Pradesh - 248006",919587000000.0,Accessible Transportation Services,Eco-Tour Guide,"INR 5,432.00",Member
86,Samaira Verma,samaira.verma83@gmail.com,26 years old,Female,"47, Civil Lines, Bareilly, Uttar Pradesh - 243005",918927000000.0,Community Theater for Social Change,Behavioral Therapist,"INR 16,543.00",Member
87,Aarit Khanna,aarit.khanna21@yahoo.com,24 years old,Male,"59, Mall Avenue, Lucknow, Uttar Pradesh - 226002",918432000000.0,STEM Education for Underserved Youth,Tax Preparer,"INR 2,345.00",Member
88,Vanya Chauhan,vanya.chauhan79@gmail.com,27 years old,Female,"24, Ram Manohar Lohia Road, Kanpur, Uttar Pradesh - 208012",919264000000.0,Malnutrition Eradication Program,Climate Change Activist,"INR 13,456.00",Member
89,Rian Sharma,rian.sharma61@yahoo.com,28 years old,Male,"42, Nirala Nagar, Varanasi, Uttar Pradesh - 221001",918195000000.0,Empowerment of Indigenous Women,Sign Language Interpreter,"INR 1,000.00",Member
90,Niyati Mehta,niyati.mehta94@gmail.com,31 years old,Female,"51, Vidhan Sabha Marg, Lucknow, Uttar Pradesh - 226001",919429000000.0,Mobile Eye Care Clinics,Public Speaking Coach,"INR 17,543.00",Member
91,Aarna Gupta,aarna.gupta17@yahoo.com,29 years old,Female,"27, Station Road, Allahabad, Uttar Pradesh - 211001",918765000000.0,Child Foster Care Program,Youth Outreach Worker,"INR 1,234.00",Member
92,Aayush Joshi,aayush.joshi59@gmail.com,25 years old,Male,"74, G.T. Road, Meerut, Uttar Pradesh - 250005",919852000000.0,Humanitarian Aid for Elderly,Marriage Educator,"INR 8,765.00",Member
93,Ishani Khanna,ishani.khanna67@yahoo.com,26 years old,Female,"44, Mall Road, Agra, Uttar Pradesh - 282004",918219000000.0,Community Policing and Safety,Wildlife Rehabilitation Specialist,"INR 3,000.00",Member
94,Kyansh Kapoor,kyansh.kapoor53@gmail.com,24 years old,Male,"76, Civil Lines, Moradabad, Uttar Pradesh - 244002",919487000000.0,Disaster Resilient Infrastructure,Substance Abuse Counselor,"INR 4,321.00",Member
95,Anvay Patel,anvay.patel33@yahoo.com,22 years old,Male,"34, Ashok Vihar, Kanpur, Uttar Pradesh - 208007",918397000000.0,Advocacy for Child Protection,Adoption Advocate,"INR 11,234.00",Member
96,Aarini Verma,aarini.verma89@gmail.com,27 years old,Female,"53, Civil Lines, Gorakhpur, Uttar Pradesh - 273001",919672000000.0,Refugee Integration Support,Eco-Friendly Product Tester,"INR 1,000.00",Member
97,Kiyan Chauhan,kiyan.chauhan43@yahoo.com,25 years old,Male,"25, Sardar Patel Marg, Varanasi, Uttar Pradesh - 221001",918927000000.0,Cultural Preservation Project,Financial Advisor,"INR 15,678.00",Member
98,Aditya Joshi,aditya.joshi15@gmail.com,30 years old,Male,"46, Jawaharlal Road, Lucknow, Uttar Pradesh - 226004",918493000000.0,Sustainable Fisheries Development,Environmental Advocate,"INR 3,000.00",Member
99,Navya Sharma,navya.sharma72@yahoo.com,28 years old,Female,"32, Rajendra Nagar, Kanpur, Uttar Pradesh - 208014",919365000000.0,Immunization Campaigns,Humanitarian Photographer,"INR 7,890.00",Member
