FULL NAME,Email Id,Age,Gender,Address,Phone No,Program/Project,Volunteer Role,Donation Amount,Membership Status
Arjun Kumar,arjun.kumar18@yahoo.com,24 years old,Male,"41, Chowk Bazaar, Bareilly, Uttar Pradesh - 243003",9.18765E+11,Maternal and Child Health Program,Volunteer Coordinator,"INR 2,342.00",Non-Member
Kiara Sharma,kiara.sharma75@gmail.com,22 years old,Female,"54, Mall Road, Kanpur, Uttar Pradesh - 208001",9.19543E+11,Microfinance and Entrepreneurship Project,Youth Counselor,"INR 5,678.00",Member
Arya Singh,arya.singh42@yahoo.com,26 years old,Male,"76, Kailashpuri, Varanasi, Uttar Pradesh - 221002",9.18932E+11,Disaster Relief and Recovery Efforts,Translator/Interpreter,INR 123.00,Member
Aryan Malhotra,aryan.malhotra68@gmail.com,27 years old,Male,"29, Ram Bagh, Agra, Uttar Pradesh - 282004",9.19264E+11,Community Sanitation Campaign,Environmental Activist,"INR 45,678.00",Member
Saanvi Kapoor,saanvi.kapoor29@yahoo.com,23 years old,Female,"88, Nainital Road, Haldwani, Uttar Pradesh - 263139",9.18419E+11,Empowerment of Persons with Disabilities,Legal Advisor,"INR 9,876.00",Member
Arnav Khanna,arnav.khanna57@gmail.com,31 years old,Male,"15, Alambagh, Lucknow, Uttar Pradesh - 226005",9.19657E+11,Agriculture and Farming Training,Marketing Specialist,"INR 3,210.00",Member
Aadhya Verma,aadhya.verma47@yahoo.com,30 years old,Female,"61, Civil Lines, Allahabad, Uttar Pradesh - 211001",9.18396E+11,Vocational Training for Youths,Financial Analyst,"INR 78,543.00",Member
Kiaan Patel,kiaan.patel76@gmail.com,25 years old,Male,"39, Mall Avenue, Lucknow, Uttar Pradesh - 226001",9.19872E+11,Refugee Assistance Program,Program Evaluator,INR 543.00,Member
Tara Sharma,tara.sharma84@yahoo.com,29 years old,Female,"73, Rajendra Nagar, Gorakhpur, Uttar Pradesh - 273001",9.19123E+11,Elderly Care and Support,Nutritionist,"INR 23,456.00",Non-Member
Vivaan Chauhan,vivaan.chauhan62@gmail.com,27 years old,Male,"24, Lajpat Nagar, Kanpur, Uttar Pradesh - 208005",9.18297E+11,HIV/AIDS Awareness and Prevention,Community Organizer,"INR 1,234.00",Member
Suhana Joshi,suhana.joshi38@yahoo.com,28 years old,Female,"48, Civil Lines, Meerut, Uttar Pradesh - 250001",9.18954E+11,School Infrastructure Improvement,Data Entry Specialist,"INR 15,678.00",Member
Aarohi Mehta,aarohi.mehta96@gmail.com,23 years old,Female,"36, Daryaganj, Agra, Uttar Pradesh - 282002",9.18432E+11,Nutritional Support for Children,Grant Writer,INR 345.00,Member
Dhruv Verma,dhruv.verma15@yahoo.com,26 years old,Male,"52, Lal Kurti, Dehradun, Uttar Pradesh - 248001",9.19782E+11,Empowerment of Indigenous Communities,Photographer/Videographer,"INR 7,890.00",Member
Eshaan Gupta,eshaan.gupta23@gmail.com,24 years old,Female,"19, Ashok Vihar, Moradabad, Uttar Pradesh - 244001",9.19163E+11,Clean Energy Adoption Project,Crisis Intervention Specialist,INR 234.00,Member
Anvi Khanna,anvi.khanna53@yahoo.com,25 years old,Male,"33, Gandhi Road, Bareilly, Uttar Pradesh - 243001",9.18295E+11,Mental Health and Counseling Services,Public Relations Specialist,"INR 5,432.00",Member
Aaryan Kapoor,aaryan.kapoor49@gmail.com,30 years old,Female,"65, Nirala Nagar, Kanpur, Uttar Pradesh - 208014",9.19452E+11,Mobile Health Clinics,IT Support,"INR 1,000.00",Member
Siya Kumar,siya.kumar17@yahoo.com,28 years old,Male,"21, Jawaharlal Road, Varanasi, Uttar Pradesh - 221002",9.18942E+11,Technology Access Program,Occupational Therapist,"INR 8,765.00",Member
Vihaan Sharma,vihaan.sharma62@gmail.com,27 years old,Female,"42, Civil Lines, Lucknow, Uttar Pradesh - 226001",9.18672E+11,Gender Equality and Women's Rights,Childcare Provider,"INR 2,134.00",Member
Kiyaan Joshi,kiyaan.joshi73@yahoo.com,25 years old,Male,"71, Vidhan Sabha Marg, Lucknow, Uttar Pradesh - 226001",9.19126E+11,Street Children Rehabilitation,Human Resources Manager,"INR 19,876.00",Member
Kavya Malhotra,kavya.malhotra59@gmail.com,29 years old,Female,"28, Subhash Road, Allahabad, Uttar Pradesh - 211003",9.18392E+11,Disaster Preparedness Workshops,Event Planner,"INR 3,000.00",Member
Rudra Chauhan,rudra.chauhan84@yahoo.com,23 years old,Male,"54, Raj Bhavan Road, Lucknow, Uttar Pradesh - 226001",9.19854E+11,Safe Drinking Water Initiative,Music Teacher,"INR 4,567.00",Non-Member
Risha Kapoor,risha.kapoor98@gmail.com,30 years old,Female,"18, Connaught Place, Kanpur, Uttar Pradesh - 208001",9.18744E+11,Vocational Training for Women,Speech Therapist,"INR 23,456.00",Member
Reeva Verma,reeva.verma64@yahoo.com,26 years old,Male,"47, Mall Road, Moradabad, Uttar Pradesh - 244001",9.19162E+11,Homeless Shelter and Rehabilitation,Archaeologist,"INR 1,000.00",Member
Aanya Khanna,aanya.khanna76@gmail.com,24 years old,Female,"26, M.G. Road, Agra, Uttar Pradesh - 282001",9.18295E+11,Community Garden Project,Eco-Friendly Architect,"INR 3,456.00",Member
Vihan Patel,vihan.patel15@yahoo.com,27 years old,Male,"60, Civil Lines, Varanasi, Uttar Pradesh - 221001",9.19583E+11,Legal Aid and Human Rights Advocacy,Art Therapist,INR 789.00,Member
Ishika Sharma,ishika.sharma56@gmail.com,28 years old,Female,"32, Ram Manohar Lohia Road, Lucknow, Uttar Pradesh - 226001",9.18925E+11,Child Sponsorship Program,Photographer,"INR 2,765.00",Member
Parth Mehta,parth.mehta21@yahoo.com,25 years old,Male,"53, Kanpur Road, Lucknow, Uttar Pradesh - 226012",9.18432E+11,Youth Sports and Recreation,Sports Coach,"INR 9,000.00",Member
Aryahi Kapoor,aryahi.kapoor12@gmail.com,23 years old,Female,"29, G.T. Road, Allahabad, Uttar Pradesh - 211003",9.19264E+11,Art and Culture Enrichment Program,Historian,"INR 7,654.00",Member
Ranbir Khanna,ranbir.khanna84@yahoo.com,31 years old,Male,"64, Nirala Nagar, Lucknow, Uttar Pradesh - 226020",9.18195E+11,Humanitarian Aid for Conflict Zones,Occupational Health and Safety Specialist,INR 234.00,Member
Naira Joshi,naira.joshi45@gmail.com,29 years old,Female,"39, Vidhan Sabha Marg, Kanpur, Uttar Pradesh - 208001",9.19429E+11,Community Library and Learning Center,Horticulturist,"INR 12,345.00",Member
Aadi Mehta,aadi.mehta47@yahoo.com,26 years old,Male,"22, Aminabad Road, Varanasi, Uttar Pradesh - 221002",9.18765E+11,Climate Change Awareness Campaign,Life Coach,"INR 2,000.00",Member
Aishani Chauhan,aishani.chauhan29@gmail.com,25 years old,Female,"46, Civil Lines, Lucknow, Uttar Pradesh - 226002",9.19852E+11,Scholarships for Underprivileged Students,Grant Reviewer,"INR 8,000.00",Member
Dhairya Verma,dhairya.verma61@yahoo.com,27 years old,Male,"79, Mall Road, Allahabad, Uttar Pradesh - 211001",9.18219E+11,Micro-Enterprise Development,Social Worker,"INR 9,000.00",Member
Avisha Gupta,avisha.gupta86@gmail.com,28 years old,Female,"25, Jawaharlal Road, Kanpur, Uttar Pradesh - 208002",9.19487E+11,Nutrition and Food Security,Animal Caretaker,INR 345.00,Member
Atharv Sharma,atharv.sharma92@yahoo.com,24 years old,Male,"57, Rajpur Road, Dehradun, Uttar Pradesh - 248001",9.18397E+11,Social Services for Vulnerable Families,Health Advocate,"INR 6,543.00",Member
Naisha Patel,naisha.patel63@gmail.com,22 years old,Female,"31, Nainital Road, Moradabad, Uttar Pradesh - 244001",9.19672E+11,Empowerment of LGBTQ+ Communities,Fitness Instructor,"INR 1,000.00",Member
Ishan Kapoor,ishan.kapoor26@yahoo.com,23 years old,Male,"43, Civil Lines, Bareilly, Uttar Pradesh - 243001",9.18927E+11,Early Childhood Education,Science Educator,"INR 5,678.00",Member
Aarna Joshi,aarna.joshi77@gmail.com,29 years old,Female,"68, Alambagh, Kanpur, Uttar Pradesh - 208007",9.18493E+11,Mobile Dental Clinics,Public Speaker,"INR 4,321.00",Member
Kabir Verma,kabir.verma55@yahoo.com,28 years old,Male,"16, Kailashpuri, Lucknow, Uttar Pradesh - 226003",9.19365E+11,Water and Sanitation Hygiene (WASH),Gardener,"INR 14,567.00",Member
Ahana Malhotra,ahana.malhotra68@gmail.com,26 years old,Female,"85, Gandhi Road, Varanasi, Uttar Pradesh - 221001",9.18942E+11,Animal Welfare and Conservation,Language Tutor,"INR 1,000.00",Member
Reyansh Gupta,reyansh.gupta32@yahoo.com,30 years old,Male,"44, Raj Bhavan Road, Lucknow, Uttar Pradesh - 226003",9.19272E+11,Mobile Health Education Workshops,Tech Support Specialist,"INR 6,789.00",Member
Aashna Chauhan,aashna.chauhan15@gmail.com,27 years old,Female,"20, Jawaharlal Nehru Road, Kanpur, Uttar Pradesh - 208002",9.19854E+11,Technology for Education,Conflict Resolution Mediator,"INR 3,200.00",Member
Aarit Mehta,aarit.mehta49@yahoo.com,25 years old,Male,"62, Subhash Road, Allahabad, Uttar Pradesh - 211003",9.18197E+11,Youth Mentorship Program,Event Photographer,"INR 6,543.00",Member
Pari Sharma,pari.sharma73@gmail.com,29 years old,Female,"35, Civil Lines, Agra, Uttar Pradesh - 282001",9.19451E+11,Mental Health Counseling for Adolescents,Human Rights Advocate,"INR 7,000.00",Member
Vihaan Verma,vihaan.verma38@yahoo.com,24 years old,Male,"49, Mahaveer Road, Gorakhpur, Uttar Pradesh - 273001",9.18672E+11,Economic Development in Rural Areas,Personal Trainer,"INR 2,345.00",Member
Anaisha Khanna,anaisha.khanna64@gmail.com,22 years old,Female,"37, Lajpat Nagar, Meerut, Uttar Pradesh - 250002",9.19123E+11,Sustainable Agriculture Project,Disaster Relief Coordinator,"INR 10,987.00",Member
Armaan Joshi,armaan.joshi21.yahoo.com,28 years old,Male,"75, Ashok Vihar, Kanpur, Uttar Pradesh - 208002",9.18392E+11,Accessible Housing Initiatives,Wilderness Guide,"INR 1,000.00",Member
Sanaya Patel,sanaya.patel67@gmail.com,27 years old,Female,"19, Civil Lines, Lucknow, Uttar Pradesh - 226004",9.19746E+11,Community-Based Rehabilitation,Music Therapist,"INR 4,321.00",Member
Reyansh Kapoor,reyansh.kapoor72@yahoo.com,26 years old,Male,"68, Alambagh, Allahabad, Uttar Pradesh - 211001",9.18265E+11,Disaster Resilience Education,Nutrition Educator,"INR 13,456.00",Member
Meher Khanna,meher.khanna84@gmail.com,30 years old,Female,"40, M.G. Road, Varanasi, Uttar Pradesh - 221002",9.19587E+11,Art Therapy for Trauma Survivors,Art Instructor,"INR 1,000.00",Member
Ayansh Chauhan,ayansh.chauhan37@yahoo.com,25 years old,Male,"21, Nishatganj, Lucknow, Uttar Pradesh - 226006",9.18927E+11,Sports for Development,Legal Aid Specialist,"INR 4,000.00",Member
Vanya Mehta,vanya.mehta93@gmail.com,24 years old,Female,"50, Civil Lines, Kanpur, Uttar Pradesh - 208005",9.18432E+11,Elderly Socialization and Support,Wilderness First Responder,"INR 12,345.00",Member
Arisha Gupta,arisha.gupta45@yahoo.com,23 years old,Male,"22, Station Road, Moradabad, Uttar Pradesh - 244001",9.19264E+11,Recycling and Waste Management,Geologist,"INR 2,000.00",Member
Aaryav Sharma,aaryav.sharma26@gmail.com,31 years old,Female,"31, Ram Bagh, Agra, Uttar Pradesh - 282005",9.18195E+11,Humanitarian Assistance in Conflict Zones,Meditation Instructor,"INR 16,789.00",Member
Anshika Verma,anshika.verma51@yahoo.com,29 years old,Male,"58, Nirala Nagar, Meerut, Uttar Pradesh - 250001",9.19429E+11,Home Repair and Renovation,Refugee Resettlement Specialist,"INR 3,000.00",Member
Ehan Joshi,ehan.joshi73@gmail.com,28 years old,Female,"27, Rajendra Nagar, Varanasi, Uttar Pradesh - 221002",9.18765E+11,Support for Victims of Domestic Violence,Construction Worker,"INR 8,000.00",Member
Kaira Kapoor,kaira.kapoor14@yahoo.com,27 years old,Male,"43, Connaught Place, Allahabad, Uttar Pradesh - 211002",9.19852E+11,Youth Leadership Development,Birdwatcher,"INR 5,432.00",Member
Aaradhya Patel,aaradhya.patel19@gmail.com,25 years old,Female,"54, Jawaharlal Road, Gorakhpur, Uttar Pradesh - 273001",9.18219E+11,Environmental Cleanup Campaign,Marriage Counselor,"INR 5,432.00",Member
Vivaan Mehta,vivaan.mehta39@yahoo.com,30 years old,Male,"26, Sardar Patel Marg, Kanpur, Uttar Pradesh - 208003",9.19487E+11,Medical Camps in Underserved Areas,Wildlife Biologist,"INR 11,234.00",Member
Aarushi Khanna,aarushi.khanna62@gmail.com,26 years old,Female,"67, Civil Lines, Lucknow, Uttar Pradesh - 226005",9.18397E+11,Solar Energy Access Program,Vocational Counselor,"INR 1,000.00",Member
Vihan Chauhan,vihan.chauhan49@yahoo.com,23 years old,Male,"45, M.G. Road, Meerut, Uttar Pradesh - 250003",9.19672E+11,Nutritional Gardens for Schools,Tax Advisor,"INR 18,765.00",Member
Anya Sharma,anya.sharma87@gmail.com,29 years old,Female,"38, Chowk Bazaar, Varanasi, Uttar Pradesh - 221002",9.18927E+11,Educational Scholarships for Girls,Environmental Scientist,"INR 1,234.00",Member
Yuvan Kapoor,yuvan.kapoor24@yahoo.com,27 years old,Male,"73, Civil Lines, Agra, Uttar Pradesh - 282007",9.18493E+11,Disaster Response Training,Fashion Designer,"INR 5,432.00",Member
Tia Joshi,tia.joshi12@gmail.com,25 years old,Female,"48, Mahaveer Road, Kanpur, Uttar Pradesh - 208005",9.19365E+11,Access to Clean Cooking Technologies,Crisis Hotline Operator,"INR 8,765.00",Member
Ahaan Mehta,ahaan.mehta29@yahoo.com,22 years old,Male,"20, Alambagh, Allahabad, Uttar Pradesh - 211002",9.18942E+11,Humanitarian Aid for Refugees,Nutrition Coach,"INR 1,234.00",Member
Aditi Gupta,aditi.gupta28@gmail.com,23 years old,Female,"55, Ashok Nagar, Lucknow, Uttar Pradesh - 226007",9.19272E+11,Child Rights Advocacy,Archaeological Surveyor,"INR 14,567.00",Member
Ayana Verma,ayana.verma84@yahoo.com,24 years old,Female,"29, Kailashpuri, Gorakhpur, Uttar Pradesh - 273001",9.19854E+11,Community Radio Station,Adoption Counselor,"INR 1,000.00",Member
Rishabh Sharma,rishabh.sharma52@gmail.com,28 years old,Male,"77, Nishatganj, Kanpur, Uttar Pradesh - 208007",9.18197E+11,Youth Arts and Music Workshops,Marketing Consultant,"INR 9,000.00",Member
Anika Khanna,anika.khanna47@yahoo.com,27 years old,Female,"30, Lajpat Nagar, Varanasi, Uttar Pradesh - 221002",9.19451E+11,Sustainable Forest Conservation,Environmental Educator,"INR 2,345.00",Member
Ayden Chauhan,ayden.chauhan61@gmail.com,26 years old,Male,"52, Civil Lines, Lucknow, Uttar Pradesh - 226006",9.18672E+11,Health and Hygiene Kits Distribution,Fitness Class Instructor,"INR 7,654.00",Member
Saisha Kapoor,saisha.kapoor68@yahoo.com,29 years old,Female,"35, Vidhan Sabha Marg, Meerut, Uttar Pradesh - 250004",9.19123E+11,Water Filtration Systems,Child Advocate,"INR 14,321.00",Member
Reyanshi Joshi,reyanshi.joshi35@gmail.com,28 years old,Female,"63, M.G. Road, Moradabad, Uttar Pradesh - 244001",9.18392E+11,Vocational Training for Persons with Disabilities,Grant Application Reviewer,"INR 1,000.00",Member
Avyan Mehta,avyan.mehta95@yahoo.com,25 years old,Male,"41, Jawaharlal Nehru Road, Agra, Uttar Pradesh - 282003",9.19746E+11,Humanitarian Aid for Orphans,Legal Researcher,"INR 6,000.00",Member
Aria Patel,aria.patel34@gmail.com,23 years old,Female,"66, Subhash Road, Allahabad, Uttar Pradesh - 211005",9.18265E+11,Anti-Trafficking Awareness Program,Wilderness Survival Trainer,"INR 2,345.00",Member
Aayan Kapoor,aayan.kapoor39@yahoo.com,30 years old,Male,"37, Raj Bhavan Road, Dehradun, Uttar Pradesh - 248006",9.19587E+11,Accessible Transportation Services,Eco-Tour Guide,"INR 5,432.00",Member
Samaira Verma,samaira.verma83@gmail.com,26 years old,Female,"47, Civil Lines, Bareilly, Uttar Pradesh - 243005",9.18927E+11,Community Theater for Social Change,Behavioral Therapist,"INR 16,543.00",Member
Aarit Khanna,aarit.khanna21@yahoo.com,24 years old,Male,"59, Mall Avenue, Lucknow, Uttar Pradesh - 226002",9.18432E+11,STEM Education for Underserved Youth,Tax Preparer,"INR 2,345.00",Member
Vanya Chauhan,vanya.chauhan79@gmail.com,27 years old,Female,"24, Ram Manohar Lohia Road, Kanpur, Uttar Pradesh - 208012",9.19264E+11,Malnutrition Eradication Program,Climate Change Activist,"INR 13,456.00",Member
Rian Sharma,rian.sharma61@yahoo.com,28 years old,Male,"42, Nirala Nagar, Varanasi, Uttar Pradesh - 221001",9.18195E+11,Empowerment of Indigenous Women,Sign Language Interpreter,"INR 1,000.00",Member
Niyati Mehta,niyati.mehta94@gmail.com,31 years old,Female,"51, Vidhan Sabha Marg, Lucknow, Uttar Pradesh - 226001",9.19429E+11,Mobile Eye Care Clinics,Public Speaking Coach,"INR 17,543.00",Member
Aarna Gupta,aarna.gupta17@yahoo.com,29 years old,Female,"27, Station Road, Allahabad, Uttar Pradesh - 211001",9.18765E+11,Child Foster Care Program,Youth Outreach Worker,"INR 1,234.00",Member
Aayush Joshi,aayush.joshi59@gmail.com,25 years old,Male,"74, G.T. Road, Meerut, Uttar Pradesh - 250005",9.19852E+11,Humanitarian Aid for Elderly,Marriage Educator,"INR 8,765.00",Member
Ishani Khanna,ishani.khanna67@yahoo.com,26 years old,Female,"44, Mall Road, Agra, Uttar Pradesh - 282004",9.18219E+11,Community Policing and Safety,Wildlife Rehabilitation Specialist,"INR 3,000.00",Member
Kyansh Kapoor,kyansh.kapoor53@gmail.com,24 years old,Male,"76, Civil Lines, Moradabad, Uttar Pradesh - 244002",9.19487E+11,Disaster Resilient Infrastructure,Substance Abuse Counselor,"INR 4,321.00",Member
Anvay Patel,anvay.patel33@yahoo.com,22 years old,Male,"34, Ashok Vihar, Kanpur, Uttar Pradesh - 208007",9.18397E+11,Advocacy for Child Protection,Adoption Advocate,"INR 11,234.00",Member
Aarini Verma,aarini.verma89@gmail.com,27 years old,Female,"53, Civil Lines, Gorakhpur, Uttar Pradesh - 273001",9.19672E+11,Refugee Integration Support,Eco-Friendly Product Tester,"INR 1,000.00",Member
Kiyan Chauhan,kiyan.chauhan43@yahoo.com,25 years old,Male,"25, Sardar Patel Marg, Varanasi, Uttar Pradesh - 221001",9.18927E+11,Cultural Preservation Project,Financial Advisor,"INR 15,678.00",Member
Aditya Joshi,aditya.joshi15@gmail.com,30 years old,Male,"46, Jawaharlal Road, Lucknow, Uttar Pradesh - 226004",9.18493E+11,Sustainable Fisheries Development,Environmental Advocate,"INR 3,000.00",Member
Navya Sharma,navya.sharma72@yahoo.com,28 years old,Female,"32, Rajendra Nagar, Kanpur, Uttar Pradesh - 208014",9.19365E+11,Immunization Campaigns,Humanitarian Photographer,"INR 7,890.00",Member
